id,fecha_publicacion,nombre,tipo,vendedor
101,2020-12-17T00:00:00Z,Edificio Alba,Departamentos,CEP_EdificioAlba
102,2020-12-16T00:00:00Z,Deko,Departamentos,CEP_Deko
103,2020-11-19T00:00:00Z,Auki,Departamentos,METROEJECIA.LTDA.*
104,2020-09-15T00:00:00Z,Tribeca,Casa,RivayoProyectosInmobiliarios*
105,2020-09-07T00:00:00Z,Mon Reve,Departamentos,CEP_MonReve
106,2020-12-16T00:00:00Z,Tulip,Departamentos,CEP_Tulip
107,2020-09-07T00:00:00Z,Mon Reve,Local,CEP_MonReve
108,2020-12-10T00:00:00Z,Buntai: Departamentos. Duplex Duplex D-103,Departamentos,CEP_Buntai
109,2020-12-10T00:00:00Z,Proyecto Attiva Departamentos,Departamentos,UrbanProjects
110,2020-12-22T00:00:00Z,Savy Bienes Rai­ces Â® Vende Casa Por Estrenar Tumbaco Ruta Viva,Casa,SAVYBienesRaices
111,2020-12-14T00:00:00Z,"Encantadora Casa Con Terreno 4.000 M2, Sector San Juan De Chuspiyacu - Tumbaco",Casa,MGMInmobiliaria
112,2020-12-14T00:00:00Z,Casa De Venta En Cumbaya Piscina 1200m2 Terreno,Casa,LaVii±aInmobiliaria
113,2020-12-11T00:00:00Z,"Ultima Casa De Oportunidad 362 M2, Conjunto Magnolia - Cumbaya",Casa,RocioSotomayorR.
114,2020-12-09T00:00:00Z,"Casa De Venta En Cumbaya, Con Jardi­n, Amplia, 4 Dormitorios",Casa,AdrianaFreireCuesta
115,2020-12-09T00:00:00Z,Cumbaya,Lote,ELISURKSAInmobiliaria
116,2020-12-01T00:00:00Z,Venta Casa Con Li­nea Blanca $550.000 - Cumbaya,Casa,INMOIMPAKTO-VeronicaGallegos
117,2020-11-21T00:00:00Z,Av .Interoceanica 24511,Casa,RoyaltyBienesRai­ces
118,2020-12-09T00:00:00Z,Casa En Venta En Cumbaya,Casa,GiocondaAcosta-INMOBILIARIA
119,2020-12-05T00:00:00Z,Venta Casa En Cumbaya,Casa,INMOIMPAKTO-JeanetteBalseca
120,2020-11-30T00:00:00Z,En Venta Casa Con Terreno 414/1.001 M2 - U$ 525.000 Negociables,Casa,InmoOK.Ecuador
221,2020-12-14T00:00:00Z,Casa En Tumbaco De Venta,Casa,INMOIMPAKTO-JairAlci­var
222,2020-12-15T00:00:00Z,Casa En Venta Cumbaya,Casa,REMAXASESORIAINMOBILIARIA-SofiaC.
223,2020-12-09T00:00:00Z,Vendo Casa Sector Site Center,Casa,martialtamirano
224,2020-11-26T00:00:00Z,Calle Mari­a Eufrasia,Casa,KathiaJaramilloP.
225,2020-10-29T00:00:00Z,Cumbaya,Casa,INMOCARVI
226,2020-10-29T00:00:00Z,"Se Vende Hermosa Casa Amoblada, Con Piscina, En Urb. Exclusiva Cumbaya (Sector Colegio Menor)",Casa,WINSARPROPIEDADES
227,2020-10-29T00:00:00Z,"Casa Venta Amplia, Bonita Cumbaya /Sector San Juan Alto",Casa,InmogroupEcuador
228,2020-10-29T00:00:00Z,En Venta Departamento Amplio Por Estreno Por La Fybeca De Cumbaya,Departamentos,InmobiliariaOccidente
229,2020-10-29T00:00:00Z,En Centro Cumbaya Se Vende Departamento Por Estrenar,Departamentos,wilmaferro1967
230,2020-10-29T00:00:00Z,Venta De Hermoso Departamento Cumbaya,Departamentos,MyriamSchettini
231,2020-10-29T00:00:00Z,Excelente Casa 3 Dormitorios Cumbaya,Casa,centroinmobiliario
232,2020-10-29T00:00:00Z,La Primavera,Casa,ZenInmobiliaria
233,2020-11-23T00:00:00Z,"Linda Casa Cumbaya Lumbisi­, 220 Mtrs, 60 Mtrs Jardi­n, 3 Parqueos",Casa,INMOIMPAKTO-VanessaApolo
234,2020-11-11T00:00:00Z,Juan Leon Mera Edificio Manarola,Departamentos,Stephany.crespo
235,2020-10-29T00:00:00Z,Casa En Cumbaya,Casa,BienesRaicesProMon
236,2020-10-29T00:00:00Z,Cumbaya Casa Sector Colegio Aleman,Casa,INMOIMPAKTO-DivfaVivanco
237,2020-10-29T00:00:00Z,"Via Lactea, Sta Ines",Casa,JanePuyolAsesorInmobioiario
238,2020-11-27T00:00:00Z,"Vendo, Cumbaya, Terreno Con Casa En Urbanizacion Por La Usf.",Casa,LVBIENESRAICES
239,2020-11-22T00:00:00Z,Casa De Venta En San Patricio De Cumbaya De Yanarazapata,Casa,MaribelAsesoradeBienesRraices
340,2020-10-21T00:00:00Z,Casa Venta,Casa,CONSTRUCTORAVELASTEGUI
341,2020-10-29T00:00:00Z,Hermosa Casa De Venta En Cumbaya,Casa,INMOSUPORT
342,2020-11-17T00:00:00Z,Cumbaya,Casa,PilarMui±oz
343,2020-10-29T00:00:00Z,"Venta Departamento Moderno Excelente Ubicacion , Cumbaya",Departamentos,SorayaPremierBienesRaices
344,2020-11-09T00:00:00Z,"Casa De Venta Dentro De Urbanizacion En Cumbaya, Los Valles",Casa,marthaaillon
345,2020-10-29T00:00:00Z,Interoceanica,Departamentos,MartaLuciaMadrii±an
346,2020-12-11T00:00:00Z,En Venta Hermosa Casa Sector Beaterio 60000,Casa,Inmovalles.Asociados
347,2020-12-27T00:00:00Z,Yoo Cumbaya Vendo Hermoso Departamento Con Doble Vista Excelente Ubicacion !!!,Departamentos,nathaliamorenollerena
348,2020-12-21T00:00:00Z,Casa En Venta En Parques De Andaluci­a De 140 Metros,Casa,BIENESRAICESECUADOR
349,2020-12-16T00:00:00Z,Excelente Casa 3 Dormitorios Cumbaya,Casa,centroinmobiliario
350,2020-12-10T00:00:00Z,Venta Cumbaya Dupelx Oportunidad,Departamentos,SusanaCabanilla
351,2020-12-08T00:00:00Z,Venta Loft En Miravalle Ii - Cumbaya,Departamentos,InmoWEB
352,2020-11-11T00:00:00Z,Av. Belisario Quevedo 170902,Casa,MARIALUISAVEGA
353,2020-12-14T00:00:00Z,"Casa En Venta, Cumbaya.",Casa,Co.inmobiliaria
354,2020-10-29T00:00:00Z,Venta De Hermosas Casas Con Amplios Ventanales En Tumbaco,Casa,JuanFernandoVinueza
355,2020-10-29T00:00:00Z,Casa Moderna $395.000 - Cumbaya,Casa,INMOIMPAKTO-VeronicaGallegos
356,2020-10-29T00:00:00Z,Casa De Venta Urbanizacion La Vii±a Cumbaya,Casa,INMOIMPAKTO-LoretoRebolledo
357,2020-11-24T00:00:00Z,Penthouse Espectacular En Cumbaya,Departamentos,INMOIMPAKTO-JairAlci­var
358,2020-11-21T00:00:00Z,Proyecto San Juan De Cumbaya / Siena,Casa,INMOLIDERKVA
359,2020-11-12T00:00:00Z,Casa De Venta Tumbaco. Sector La Vii±a,Casa,NicolasValencia
460,2020-10-29T00:00:00Z,"Venta Suite De Lujo, Ecoeficiente - Cumbaya",Departamentos,INMOIMPAKTO-YerlisCalderon
461,2020-10-29T00:00:00Z,Vendo Casa En Conjunto - Cumbaya - 3 Dormitorios- Sala Estar - Jardi­n - Piscina,Casa,INMOIMPAKTO-AlexandraBello
462,2020-10-29T00:00:00Z,"Casa De Un Solo Andar, Estilo Espai±ol, De 684m2, irea ištil",Casa,JanethChafla
463,2020-10-29T00:00:00Z,Venta Departamento 3 Dormitorios Por Estrenar Cumbaya Excelente Ubicacion,Departamentos,INMOIMPAKTO-Mari­aLandeta
464,2020-10-29T00:00:00Z,Venta De Casa En Miravalle Urbanizacion San Isidro 2,Casa,bienesraicesgeme
465,2020-10-29T00:00:00Z,Departamento Por Estrenar En Venta,Departamentos,wilmaferro1967
466,2020-10-29T00:00:00Z,Ruta Viva,Casa,ZenInmobiliaria
467,2020-10-29T00:00:00Z,Juan Leon Mera Edificio Manarola,Departamentos,Stephany.crespo
468,2020-12-11T00:00:00Z,Departamento De Venta En Cumbaya Jardi­n Privado,Departamentos,HIERBIENESRAICES
469,2020-12-07T00:00:00Z,Oficina Venta Cumbaya,Oficina / Consultorio,MILENAVELASTEGUI
470,2020-10-29T00:00:00Z,Venta Casa Por Estrenar Cumbaya,Casa,ARMBienesRai­ces
471,2020-11-26T00:00:00Z,Casa De Venta Por Estrenar En Conjunto - San Juan Alto - Cumbaya,Casa,INMOIMPAKTO-JeanetteEnri­quez
472,2020-10-29T00:00:00Z,Venta Departamento En Cumbaya Con Jardi­n Y Terraza. Nuevo,Departamentos,EmmaBarragan
473,2020-12-11T00:00:00Z,"Terreno, Venta, San Juan Alto, 1.243 MÂ², Mariela, (1087)",Lote,RentaEC
474,2020-10-29T00:00:00Z,"Increible Casa En Etapa De Entrega En El Sector De Tumbaco, Usd 189.900!!!!!",Casa,InvierteBienes
475,2020-12-07T00:00:00Z,"Proyecto De 4 Departamentos , Lumbisi­/Cumbaya",Departamentos,malcazar
476,2020-11-13T00:00:00Z,"Cumbaya Vendo, Apartamento, Sector Santa Lucia",Departamentos,LVBIENESRAICES
477,2020-10-29T00:00:00Z,Casa De Venta En San Juan Alto De Cumbaya,Casa,MaribelAsesoradeBienesRraices
478,2020-10-29T00:00:00Z,"Cumbaya, San Juan De Cumbaya, Casa De 457 MÂ² Habitables.",Casa,Urbanaasesoresinmobiliarios
479,2020-10-29T00:00:00Z,Hermosa Casa De Venta En Cumbaya,Casa,INMOSUPORT
580,2020-10-29T00:00:00Z,Hermosa En Venta Casa 2 Niveles Jardin Independiente En Conjunto Cumbaya,Casa,INMOGLOBALECUADORS.A.
581,2020-10-29T00:00:00Z,"Venta, Casa, Cumbaya",Casa,MartaLuciaMadrii±an
582,2020-12-16T00:00:00Z,Casa De Venta En Cumbaya,Casa,katherinne.escobar367
583,2020-12-25T00:00:00Z,Cumbaya - San Juan De Cumbaya Departamento De Venta A Estrenar,Departamentos,LorenaGalarraga
584,2020-12-23T00:00:00Z,Savy Bienes Rai­ces Â® Vende Casa Por Estrenar Tumbaco Ruta Viva,Casa,SAVYBienesRaices
585,2020-12-22T00:00:00Z,Tumbaco Vendo Casa No Adosada Conjunto Recidencial,Casa,VisionInmobiliaria
586,2020-12-16T00:00:00Z,"Preciosa Casa En Venta En Cumbaya, 3 Dorms, Excelente Conjunto",Casa,centroinmobiliario
587,2020-12-15T00:00:00Z,Excelente Casa De Renta En Una De Las Mejores Urbanizaciones En Cumbaya!,Casa,AlexandraRendon
588,2020-12-10T00:00:00Z,Loft Venta Cumbaya,Departamentos,SusanaCabanilla
589,2020-12-03T00:00:00Z,Cumbaya,Casa,LaVii±aInmobiliaria
590,2020-10-29T00:00:00Z,Casa 4 Dormitorios De Lujo - Cumbaya,Casa,RocioSotomayorR.
591,2020-10-29T00:00:00Z,Venta De Hermosas Casas En Tumbaco - Proyecto Amari Homes,Casa,JuanFernandoVinueza
592,2020-10-29T00:00:00Z,Hermoso Departamento Moderno Por Estrenar Con Lindas ireas Comunales - Cumbaya,Departamentos,ProyectosconEquilibrio
593,2020-11-20T00:00:00Z,Vendo Apartamento Duplex En San Juan Alto - Cumbaya,Departamentos,INMOIMPAKTO-JairAlci­var
594,2020-11-23T00:00:00Z,San Juan Alto Cumbaya Casa Venta,Casa,Guevara&LascanoPropiedades
595,2020-12-08T00:00:00Z,Departamento De Venta. Cumbaya. La Primavera,Departamentos,KathiaJaramilloP.
596,2020-10-29T00:00:00Z,"Venta Departamento De Lujo 2d, Con Terraza Y Jardi­n, Ecoeficiente - Cumbaya",Departamentos,INMOIMPAKTO-YerlisCalderon
597,2020-11-05T00:00:00Z,Hermosa Casa Cumbaya La Primavera Oportunidad,Casa,RynaZapataRodri­guez
598,2020-10-29T00:00:00Z,Cumbaya,Casa,WINSARPROPIEDADES
599,2020-10-29T00:00:00Z,Venta Departamento Por Estrenar Cumbaya Espectacular Vista,Departamentos,INMOIMPAKTO-Mari­aLandeta
